timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1724732495962,1385,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,21 minutes - 1 hour 30 minutes with 250 users 1-1,text,true,,1504,1345,2,2,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1385,0,0
1724732504900,1535,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,21 minutes - 1 hour 30 minutes with 250 users 1-2,text,true,,1501,1345,2,2,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1534,0,0
1724732518738,1665,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,21 minutes - 1 hour 30 minutes with 250 users 1-3,text,true,,1500,1345,3,3,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1665,0,0
1724732527061,1325,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,21 minutes - 1 hour 30 minutes with 250 users 1-1,text,true,,1502,1345,4,4,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1325,0,0
1724732536038,1399,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,21 minutes - 1 hour 30 minutes with 250 users 1-2,text,true,,1504,1345,4,4,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1399,0,0
1724732536745,1509,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,21 minutes - 1 hour 30 minutes with 250 users 1-4,text,true,,1504,1345,4,4,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1509,0,0
1724732549353,1305,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,21 minutes - 1 hour 30 minutes with 250 users 1-3,text,true,,1502,1345,5,5,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1305,0,0
1724732554234,1145,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,21 minutes - 1 hour 30 minutes with 250 users 1-5,text,true,,1503,1345,5,5,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1145,0,0
1724732558458,1245,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,21 minutes - 1 hour 30 minutes with 250 users 1-1,text,true,,1503,1345,6,6,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1244,0,0
1724732566377,1388,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,21 minutes - 1 hour 30 minutes with 250 users 1-2,text,true,,1503,1345,6,6,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1388,0,0
1724732566422,1657,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,21 minutes - 1 hour 30 minutes with 250 users 1-4,text,true,,1504,1345,6,6,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1657,0,0
