timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1724254866406,1354,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-1,text,true,,1716,1370,5,5,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1354,0,0
1724254868183,1393,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-2,text,true,,1500,1345,5,5,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1393,0,0
1724254875280,1455,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-3,text,true,,1502,1345,7,7,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1455,0,0
1724254879204,1567,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-4,text,true,,1503,1345,7,7,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1567,0,0
1724254885522,1045,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-5,text,true,,1503,1345,8,8,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1045,0,0
1724254891051,1193,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-6,text,true,,1500,1345,9,9,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1193,0,0
1724254899571,1053,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-7,text,true,,1717,1370,10,10,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1053,0,0
1724254903751,1050,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-8,text,true,,1501,1345,11,11,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1050,0,0
1724254910364,1233,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-9,text,true,,1505,1345,12,12,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1233,0,0
1724254916474,1069,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-10,text,true,,1503,1345,13,13,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1068,0,0
1724254919335,74,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",500,,0 - 21 minutes with 200 users 1-1,text,false,"Value in json path '$.error' expected to be 'false', but found '{}'",1136,1345,13,13,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,74,0,0
1724254919765,1231,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-2,text,true,,1502,1345,14,14,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1231,0,0
1724254924253,1241,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-11,text,true,,1503,1345,14,14,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1241,0,0
1724254930036,1178,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-4,text,true,,1503,1345,15,15,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1178,0,0
1724254934390,1154,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-12,text,true,,1505,1345,16,16,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1154,0,0
1724254935333,1304,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-13,text,true,,1501,1345,16,16,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1304,0,0
1724254935857,1335,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-5,text,true,,1505,1345,16,16,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1335,0,0
1724254942173,1226,"/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder-7,789",200,OK,0 - 21 minutes with 200 users 1-14,text,true,,1502,1345,17,17,https://yogi-prod.fossil.com/on/demandware.store/Sites-fossil-na-Site/en_US/CheckoutServices-PlaceOrder,1226,0,0
